node_id,sigma_xx
264,-42.375
270,-41.74
266,-28.025
263,-28.3925
271,-41.1725
267,-27.5875
249,-40.667500000000004
250,-27.189999999999998
114,-62.16
115,-61.769999999999996
272,-55.1425
265,-55.7025
116,-61.325
273,-54.6225
117,-60.8
248,-54.0925
109,-41.120000000000005
278,-42.05
274,-27.622500000000002
108,-27.130000000000003
279,-42.845
275,-28.325
111,-67.35
112,-65.31
280,-57.3875
110,-57.785
281,-56.4975
113,-62.81
120,-58.96
121,-58.32
315,-51.84
310,-52.41
316,-38.879999999999995
309,-39.3125
311,-25.919999999999998
308,-26.215
239,-50.6875
317,-51.265
122,-57.675
123,-57.025000000000006
240,-38.015
318,-38.4475
323,-40.2025
319,-26.84
324,-39.7525
320,-26.52
118,-60.215
325,-53.545
119,-59.595
326,-52.98
363,-36.72
369,-36.2875
365,-24.1925
362,-24.48
370,-35.855
366,-23.905
348,-35.425
349,-23.615000000000002
126,-55.08
127,-54.435
371,-48.385
364,-48.96
128,-53.785
372,-47.8075
129,-53.135000000000005
347,-47.2325
377,-37.585
373,-25.055
241,-25.345
378,-37.1525
374,-24.7675
124,-56.375
379,-50.1125
380,-49.535
125,-55.724999999999994
409,-33.695
415,-33.265
411,-22.174999999999997
408,-22.465
416,-32.832499999999996
412,-21.8875
231,-32.4
232,-21.6
133,-50.545
134,-49.894999999999996
417,-44.3525
410,-44.9275
135,-49.245000000000005
418,-43.775
136,-48.6
230,-43.2
425,-46.08
427,-46.655
130,-52.485
131,-51.84
426,-34.56
428,-34.9925
429,-45.505
132,-51.195
430,-34.1275
494,-31.9675
490,-21.3125
137,-47.955
496,-42.625
268,-14.0625
262,-14.1825
258,0.0
259,0.0
269,-13.8425
257,0.0
251,-13.625
252,0.0
276,-13.7275
107,-13.479999999999999
261,0.0
106,0.0
277,-14.0875
260,0.0
292,14.0625
285,14.1825
300,13.7275
105,13.479999999999999
301,14.0875
313,-12.959999999999999
307,-13.11
303,0.0
304,0.0
242,-12.6725
314,-12.815
312,-25.6325
243,0.0
302,0.0
321,-13.4375
306,0.0
322,-13.2675
305,0.0
337,12.959999999999999
330,13.11
345,13.4375
253,13.625
367,-12.094999999999999
361,-12.24
357,0.0
358,0.0
350,-11.807500000000001
368,-11.9525
351,0.0
356,0.0
375,-12.5275
360,0.0
376,-12.385
359,0.0
391,12.094999999999999
384,12.24
399,12.5275
244,12.6725
400,12.385
413,-11.087499999999999
407,-11.2325
402,0.0
403,0.0
414,-10.945
401,0.0
233,-10.8
234,0.0
422,-11.52
423,-11.665000000000001
419,-23.3275
420,-23.04
405,0.0
406,0.0
421,-22.7525
424,-11.375
404,0.0
441,11.087499999999999
434,11.2325
492,-10.655000000000001
477,0.0
516,10.655000000000001
235,10.8
480,-31.105
486,-30.6725
482,-20.447499999999998
479,-20.735
487,-30.240000000000002
483,-20.16
465,-29.8075
466,-19.8725
139,-46.655
140,-46.004999999999995
488,-40.894999999999996
481,-41.4725
141,-45.36
489,-40.32
142,-44.715
464,-39.745000000000005
495,-31.535
491,-21.025000000000002
497,-42.0475
138,-47.305
145,-42.765
146,-42.12
531,-37.44
526,-38.015
532,-28.08
525,-28.5125
527,-18.72
524,-19.0075
455,-36.2875
533,-36.864999999999995
147,-41.474999999999994
148,-40.825
456,-27.215
534,-27.6475
539,-29.375
535,-19.585
540,-28.945
536,-19.295
143,-44.065
541,-39.167500000000004
144,-43.415000000000006
542,-38.5925
151,-38.88
152,-38.235
585,-33.985
580,-34.56
586,-25.4875
579,-25.92
581,-16.9925
578,-17.28
563,-32.832499999999996
587,-33.4075
153,-37.584999999999994
154,-36.935
564,-24.625
588,-25.055
149,-40.175
593,-35.7125
594,-26.785
589,-17.855
457,-18.145
595,-35.135
150,-39.525000000000006
596,-26.3525
158,-34.345
159,-33.695
631,-29.9525
626,-30.527500000000003
632,-22.465
625,-22.895
627,-14.975
624,-15.265
221,-28.799999999999997
633,-29.375
160,-33.045
161,-32.4
222,-21.6
634,-22.0325
641,-31.68
643,-32.255
155,-36.285
156,-35.64
642,-23.759999999999998
644,-24.1925
645,-31.105
157,-34.995000000000005
646,-23.3275
162,-31.755
719,-28.225
720,-21.1675
715,-14.1125
223,-14.4
484,-10.225
478,-10.3675
474,0.0
475,0.0
485,-10.08
473,0.0
467,-9.935
468,0.0
493,-10.5125
476,0.0
508,10.225
501,10.3675
517,10.5125
529,-9.36
523,-9.504999999999999
519,0.0
520,0.0
458,-9.0725
530,-9.215
528,-18.4325
459,0.0
518,0.0
537,-9.7925
522,0.0
538,-9.6475
521,0.0
553,9.36
546,9.504999999999999
561,9.7925
469,9.935
583,-8.495000000000001
577,-8.64
573,0.0
574,0.0
582,-16.705
584,-8.3525
572,0.0
565,-16.415
566,-8.2075
567,0.0
591,-8.9275
576,0.0
590,-17.5675
592,-8.785
575,0.0
607,8.495000000000001
600,8.64
615,8.9275
460,9.0725
616,8.785
629,-7.4875
623,-7.6325
618,0.0
619,0.0
628,-14.6875
630,-7.345
617,0.0
224,-7.2
225,0.0
638,-7.92
639,-8.065
635,-16.1275
636,-15.84
621,0.0
622,0.0
637,-15.5525
640,-7.775
620,0.0
657,7.4875
650,7.6325
717,-7.055
702,0.0
741,7.055
226,7.2
284,28.3925
290,28.025
286,41.74
283,42.375
291,27.5875
287,41.1725
254,27.189999999999998
255,40.667500000000004
293,13.8425
104,27.130000000000003
298,27.622500000000002
294,42.05
103,41.120000000000005
299,28.325
295,42.845
329,26.215
335,25.919999999999998
331,38.879999999999995
328,39.3125
336,25.6325
332,38.4475
245,25.345
246,38.015
338,12.815
343,26.84
339,40.2025
344,26.52
340,39.7525
346,13.2675
383,24.48
389,24.1925
385,36.2875
382,36.72
390,23.905
386,35.855
353,23.615000000000002
354,35.425
352,11.807500000000001
392,11.9525
397,25.055
393,37.585
398,24.7675
394,37.1525
433,22.465
439,22.174999999999997
435,33.265
432,33.695
440,21.8875
436,32.832499999999996
236,21.6
237,32.4
442,10.945
449,11.52
451,11.665000000000001
450,23.04
452,23.3275
453,11.375
454,22.7525
514,21.3125
510,31.9675
288,55.1425
282,55.7025
97,61.769999999999996
98,62.16
289,54.6225
96,61.325
256,54.0925
95,60.8
296,57.3875
102,57.785
100,65.31
101,67.35
297,56.4975
99,62.81
333,51.84
327,52.41
91,58.32
92,58.96
334,51.265
90,57.675
247,50.6875
89,57.025000000000006
341,53.545
94,60.215
342,52.98
93,59.595
387,48.385
381,48.96
85,54.435
86,55.08
355,47.2325
388,47.8075
83,53.135000000000005
84,53.785
395,50.1125
88,56.375
396,49.535
87,55.724999999999994
437,44.3525
431,44.9275
78,49.894999999999996
79,50.545
438,43.775
77,49.245000000000005
238,43.2
76,48.6
443,34.9925
447,46.655
82,52.485
444,34.56
446,46.08
81,51.84
448,45.505
445,34.1275
80,51.195
512,42.625
75,47.955
500,20.735
506,20.447499999999998
502,30.6725
499,31.105
507,20.16
503,30.240000000000002
470,19.8725
471,29.8075
509,10.08
515,21.025000000000002
511,31.535
545,19.0075
551,18.72
547,28.08
544,28.5125
552,18.4325
548,27.6475
461,18.145
462,27.215
554,9.215
559,19.585
555,29.375
560,19.295
556,28.945
562,9.6475
599,17.28
605,16.9925
601,25.4875
598,25.92
606,16.705
602,25.055
569,16.415
570,24.625
568,8.2075
608,8.3525
613,17.855
609,26.785
614,17.5675
610,26.3525
649,15.265
655,14.975
651,22.465
648,22.895
656,14.6875
652,22.0325
227,14.4
228,21.6
658,7.345
665,7.92
667,8.065
666,15.84
668,16.1275
669,7.775
670,15.5525
739,14.1125
735,21.1675
504,40.894999999999996
498,41.4725
72,46.004999999999995
73,46.655
505,40.32
71,45.36
472,39.745000000000005
70,44.715
