elements,ElementStresses2D&3DXX_Max_GlobalSystem_f,node1,node2,node3,node4
7,-35.25,264,270,266,263
8,-34.68,270,271,267,266
9,-34.17,271,249,250,267
10,-61.97,114,115,272,265
11,-48.83,265,272,270,264
12,-61.57,115,116,273,272
13,-48.2,272,273,271,270
14,-61.08,116,117,248,273
15,-47.64,273,248,249,271
22,-34.02,109,278,274,108
23,-35.25,278,279,275,274
24,-35.76,279,264,263,275
25,-67.35,111,112,280,110
26,-48.22,110,280,278,109
27,-62.35,265,281,113,114
28,-63.27,281,280,112,113
29,-49.66,264,279,281,265
30,-50.71,279,278,280,281
67,-58.64,120,121,315,310
68,-45.61,310,315,316,309
69,-32.58,309,316,311,308
70,-57.35,239,317,122,123
71,-58,317,315,121,122
73,-44.6,240,318,317,239
75,-45.11,318,316,315,317
82,-33.73,249,323,319,250
83,-33.33,323,324,320,319
84,-32.95,324,309,308,320
85,-60.52,117,118,325,248
86,-47.13,248,325,323,249
87,-59.91,118,119,326,325
88,-46.62,325,326,324,323
89,-59.28,119,120,310,326
90,-46.11,326,310,309,324
127,-30.42,363,369,365,362
128,-30.06,369,370,366,365
129,-29.7,370,348,349,366
130,-54.76,126,127,371,364
131,-42.59,364,371,369,363
132,-54.11,127,128,372,371
133,-42.08,371,372,370,369
134,-53.46,128,129,347,372
135,-41.58,372,347,348,370
142,-31.5,240,377,373,241
143,-31.14,377,378,374,373
144,-30.78,378,363,362,374
145,-56.7,123,124,379,239
146,-44.1,239,379,377,240
147,-55.4,364,380,125,126
148,-56.05,380,379,124,125
149,-43.09,363,378,380,364
150,-43.6,378,377,379,380
187,-27.9,409,415,411,408
188,-27.54,415,416,412,411
189,-27.18,416,231,232,412
190,-50.22,133,134,417,410
191,-39.06,410,417,415,409
192,-49.57,134,135,418,417
193,-38.56,417,418,416,415
194,-48.92,135,136,230,418
195,-38.05,418,230,231,416
204,-52.16,425,427,130,131
205,-52.81,427,347,129,130
206,-40.57,426,428,427,425
207,-41.08,428,348,347,427
210,-50.87,410,429,132,133
211,-51.52,429,425,131,132
213,-39.56,409,430,429,410
215,-40.07,430,426,425,429
272,-26.82,231,494,490,232
275,-48.28,136,137,496,230
276,-37.55,230,496,494,231
1,-21.25,263,266,268,262
2,-7.08,262,268,258,259
3,-20.92,266,267,269,268
4,-7,268,269,257,258
5,-20.58,267,250,251,269
6,-6.87,269,251,252,257
16,-20.24,108,274,276,107
17,-6.72,107,276,261,106
18,-20.98,274,275,277,276
19,-6.97,276,277,260,261
20,-21.31,275,263,262,277
21,-7.09,277,262,259,260
40,7.08,259,258,292,285
55,6.72,106,261,300,105
57,6.97,261,260,301,300
59,7.09,260,259,285,301
61,-19.55,308,311,313,307
62,-6.52,307,313,303,304
63,-19.12,242,314,312,241
64,-19.33,314,313,311,312
65,-6.37,243,302,314,242
66,-6.44,302,303,313,314
72,-31.86,241,312,318,240
74,-32.22,312,311,316,318
76,-20.28,250,319,321,251
77,-6.77,251,321,306,252
78,-19.78,307,322,320,308
79,-20.02,322,321,319,320
80,-6.59,304,305,322,307
81,-6.68,305,306,321,322
100,6.52,304,303,337,330
115,6.77,252,306,345,253
121,-18.25,362,365,367,361
122,-6.08,361,367,357,358
123,-17.82,350,368,366,349
124,-18.04,368,367,365,366
125,-5.94,351,356,368,350
126,-6.01,356,357,367,368
136,-18.9,241,373,375,242
137,-6.3,242,375,360,243
