elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
1;-21.25;-1.82;1;0.33;-4.39
2;-7.08;-1.96;2;0.33;-4.32
3;-20.92;-1.76;3;0.33;-4.26
4;-7;-1.99;4;0.33;-4.19
5;-20.58;-1.7;5;0.33;-4.13
6;-6.87;-1.92;6;0.33;-4.06
7;-35.25;-1.38;7;0.33;-4
8;-34.68;-1.3;8;0.33;-3.93
9;-34.17;-1.3;9;0.33;-3.86
10;-61.97;-0.14;10;0.32;-3.8
11;-48.83;-0.7;11;0.32;-3.73
12;-61.57;-0.22;12;0.32;-3.67
13;-48.2;-0.73;13;0.32;-3.6
14;-61.08;-0.28;14;0.32;-3.54
15;-47.64;-0.8;15;0.32;-3.48
16;-20.24;0.97;16;0.32;-3.41
17;-6.72;1.53;17;0.32;-3.35
18;-20.98;-0.86;18;0.32;-3.28
19;-6.97;-0.48;19;0.32;-3.22
20;-21.31;-1.66;20;0.32;-3.16
21;-7.09;-1.57;21;0.31;-3.09
22;-34.02;-0.26;22;0.31;-3.03
23;-35.25;-1.6;23;0.31;-2.97
24;-35.76;-1.67;24;0.31;-2.91
25;-67.35;-5.46;25;0.31;-2.84
26;-48.22;-2.53;26;0.31;-2.78
27;-62.35;-0.1;27;0.31;-2.72
28;-63.27;-0.67;28;0.3;-2.66
29;-49.66;-0.99;29;0.3;-2.6
30;-50.71;-2.39;30;0.3;-2.54
31;48.83;-0.7;31;0.3;-2.48
32;61.97;-0.14;32;0.3;-2.42
33;48.2;-0.73;33;0.29;-2.36
34;61.57;-0.22;34;0.29;-2.3
35;47.64;-0.8;35;0.29;-2.24
36;61.08;-0.28;36;0.29;-2.18
37;35.25;-1.38;37;0.28;-2.13
38;34.68;-1.3;38;0.28;-2.07
39;34.17;-1.3;39;0.28;-2.01
40;7.08;-1.96;40;0.28;-1.96
41;21.25;-1.82;41;0.27;-1.9
42;6.87;-1.92;42;0.27;-1.85
43;7;-1.99;43;0.27;-1.79
44;20.58;-1.7;44;0.27;-1.74
45;20.92;-1.76;45;0.26;-1.69
46;48.22;-2.53;46;0.26;-1.63
47;67.35;-5.46;47;0.26;-1.58
48;50.71;-2.39;48;0.25;-1.53
49;63.27;-0.67;49;0.25;-1.48
50;49.66;-0.99;50;0.25;-1.43
51;62.35;-0.1;51;0.25;-1.38
52;34.02;-0.26;52;0.24;-1.33
53;35.25;-1.6;53;0.24;-1.28
54;35.76;-1.67;54;0.24;-1.23
55;6.72;1.53;55;0.23;-1.19
56;20.24;0.97;56;0.23;-1.14
57;6.97;-0.48;57;0.22;-1.09
58;20.98;-0.86;58;0.22;-1.05
59;7.09;-1.57;59;0.22;-1.01
60;21.31;-1.66;60;0.21;-0.96
61;-19.55;-1.63;61;0.21;-0.92
62;-6.52;-1.78;62;0.21;-0.88
63;-19.12;-1.63;63;0.2;-0.84
64;-19.33;-1.63;64;0.2;-0.8
65;-6.37;-1.77;65;0.19;-0.76
66;-6.44;-1.78;66;0.19;-0.72
67;-58.64;-0.35;67;0.18;-0.68
68;-45.61;-0.9;68;0.18;-0.64
69;-32.58;-1.34;69;0.18;-0.61
70;-57.35;-0.35;70;0.17;-0.57
71;-58;-0.35;71;0.17;-0.54
72;-31.86;-1.34;72;0.16;-0.51
73;-44.6;-0.91;73;0.16;-0.47
74;-32.22;-1.34;74;0.15;-0.44
75;-45.11;-0.91;75;0.15;-0.41
76;-20.28;-1.67;76;0.14;-0.38
77;-6.77;-1.86;77;0.14;-0.36
78;-19.78;-1.64;78;0.13;-0.33
79;-20.02;-1.65;79;0.13;-0.3
80;-6.59;-1.79;80;0.12;-0.28
